task_id,accuracy
2122,0.24065672931518686
3048,0.9856368563685637
3049,0.948220064724919
3053,0.7704918032786885
75089,0.7393939393939394
75108,1.0
279,0.8006329113924051
288,0.8309090909090909
75112,0.8454429572976419
75115,0.9803536345776032
75121,0.9980353634577603
2121,0.21407837445573294
75125,0.9607072691552063
75126,0.9410609037328095
75131,0.8909090909090909
75134,0.3881771225851516
75139,0.9446464646464646
75141,0.9393266740658528
75142,0.8529695978592136
75146,0.874145911395195
75147,0.9189789123196448
75148,0.7824390243902439
75149,0.8636363636363636
75154,0.028409090909090908
75156,0.7534357316087308
75171,0.7591564927857936
75176,0.9763617677286742
75180,0.896969696969697
75185,0.8616874135546335
75187,0.9631449631449631
75199,0.9
75210,0.9989477376359173
75219,0.7357879830062715
75223,0.24065672931518686
75233,0.925638179800222
75235,0.7833333333333333
75236,0.6038095238095238
75239,1.0
126021,0.5695162762397323
126024,0.9317605771105478
126030,0.5379635079458505
126031,0.2622589531680441
146574,0.25757575757575757
146576,0.9494584837545126
146586,0.995575221238938
146592,0.5238095238095238
146593,0.6770833333333334
146594,0.5990675990675991
146596,0.9786096256684492
146597,0.20212765957446807
166866,0.8484848484848485
166872,0.5757575757575758
166905,0.8734939759036144
166915,0.9552715654952076
166931,0.8666666666666667
166932,0.5575757575757576
166950,0.8787878787878788
166951,0.8242424242424242
166956,0.9619565217391305
166958,0.9836956521739131
167085,0.4564393939393939
167086,0.4715909090909091
167089,0.49053030303030304
189859,0.2222222222222222
189863,0.609073359073359
189864,0.7089397089397089
189875,0.5875757575757575
189878,0.10707070707070707
189881,0.8802395209580839
189882,0.779559118236473
189887,0.9605582524271845
189890,0.9283240997229917
189894,0.782051282051282
189899,0.1700404858299595
189902,0.9649910233393177
190158,0.13498187770372969
211720,0.37984753065959564
211721,0.6674325100516945
